id_pnl,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_bal,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id_x,operating_activity,investing_activity,financing_activity,net_cash_flow,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,id_y,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,fcf_yield_pct,company_name,broad_sector,sub_sector,market_cap_category,sector_median_pe,valuation_status,valuation_score,investment_rating
448,DLF,2023,5695,3969,1726.0,30.0,317,392,149,1502,27.0,2034,8.0,49.0,526.0,495.0,37192.0,3334.0,11551.0,52572.0,4785.0,61.0,19481.0,28245.0,52572.0,432.0,2375.0,-461.0,-2013.0,-98.0,35.71553994732221,30.30728709394205,5.397086528511158,0.0884655186138456,5.211734693877551,0.1083276268736209,1914.0,461.0,8.0,376.87,49.0,3334.0,2375.0,,0,0,0,173.0,1276452.77,1561585.72,65.17,7.73,13.18,1.02,0.14994679356604787,DLF Ltd,Real Estate,Real Estate,Large Cap,49.505,Fair,20,Avoid
449,DLF,2024,6427,4303,2124.0,33.0,531,356,148,2151,24.0,2724,11.0,45.0,527.0,495.0,38936.0,4834.0,14804.0,59069.0,3880.0,71.0,20138.0,34981.0,59069.0,433.0,2539.0,-1529.0,177.0,1186.0,42.38369379181578,33.04807841916913,6.908270142781061,0.1225938982019223,7.457865168539326,0.1088049569147945,1010.0,1529.0,11.0,394.31,45.0,4834.0,2539.0,-2.91,0,0,0,174.0,1381712.03,1248409.43,46.26,14.32,10.41,2.58,0.07309772065891328,DLF Ltd,Real Estate,Real Estate,Large Cap,49.505,Fair,20,Avoid
457,DMART,2019,20005,18371,1633.0,8.0,48,47,212,1422,37.0,902,14.0,0.0,535.0,624.0,4963.0,700.0,718.0,7006.0,4400.0,377.0,17.0,2212.0,7006.0,440.0,807.0,-958.0,209.0,57.0,4.508872781804548,8.162959260184955,16.144621442634687,0.1252908537676749,35.765957446808514,2.8554096488723952,-151.0,958.0,14.0,55.87,0.0,700.0,807.0,,0,0,0,175.0,1847236.39,2290853.98,67.17,4.98,36.17,4.24,-0.008174373394625472,Avenue Supermarts Ltd,Consumer Discretionary,Retail,Large Cap,42.5,Caution,0,Avoid
458,DMART,2020,24870,22742,2128.0,9.0,60,69,374,1745,25.0,1301,20.0,0.0,536.0,648.0,10432.0,333.0,663.0,12076.0,5948.0,364.0,15.0,5749.0,12076.0,441.0,1280.0,-4657.0,3357.0,-19.0,5.231202251708886,8.556493767591476,11.74187725631769,0.0300541516245487,31.71014492753623,2.059456773766148,-3377.0,4657.0,20.0,110.8,0.0,333.0,1280.0,,0,0,0,176.0,2028073.83,2112904.95,37.82,5.35,12.43,2.78,-0.16651267572443357,Avenue Supermarts Ltd,Consumer Discretionary,Retail,Large Cap,42.5,Fair,20,Avoid
459,DMART,2021,24143,22398,1745.0,7.0,194,42,414,1483,26.0,1099,17.0,0.0,537.0,648.0,11536.0,393.0,1079.0,13655.0,7009.0,1020.0,3.0,5624.0,13655.0,442.0,1375.0,-1110.0,-180.0,86.0,4.552044070745144,7.227767883030278,9.020026263952726,0.0322554169402495,46.16666666666666,1.7680703039179788,265.0,1110.0,17.0,121.84,0.0,393.0,1375.0,,0,0,0,177.0,2294356.77,2489455.16,14.9,12.05,11.12,0.52,0.01155007815109766,Avenue Supermarts Ltd,Consumer Discretionary,Retail,Large Cap,42.5,Discount,20,Avoid
460,DMART,2022,30976,28474,2502.0,8.0,114,54,498,2064,28.0,1492,23.0,0.0,538.0,648.0,13030.0,647.0,1146.0,15471.0,9260.0,1129.0,6.0,5076.0,15471.0,443.0,1372.0,-1289.0,-179.0,-96.0,4.816632231404959,8.077221074380166,10.908027489399034,0.0473022371691767,48.44444444444444,2.002197660138324,83.0,1289.0,23.0,136.78,0.0,647.0,1372.0,,0,0,0,178.0,2664977.29,2823430.83,12.31,5.66,32.01,2.77,0.0031144730692995886,Avenue Supermarts Ltd,Consumer Discretionary,Retail,Large Cap,42.5,Discount,0,Avoid
461,DMART,2023,42840,39201,3639.0,8.0,128,67,639,3060,22.0,2378,37.0,0.0,539.0,648.0,15430.0,643.0,1383.0,18105.0,11340.0,829.0,202.0,5733.0,18105.0,444.0,2630.0,-2313.0,-205.0,112.0,5.550887021475257,8.494397759103641,14.790396815524318,0.0399925363851225,56.223880597014926,2.3661971830985915,317.0,2313.0,37.0,160.78,0.0,643.0,2630.0,,0,0,0,179.0,2748638.95,2684655.9,53.49,13.37,27.62,3.66,0.011532980713963905,Avenue Supermarts Ltd,Consumer Discretionary,Retail,Large Cap,42.5,Fair,0,Avoid
462,DMART,2024,50789,46683,4106.0,8.0,145,58,731,3461,27.0,2536,39.0,0.0,540.0,651.0,18047.0,592.0,1882.0,21172.0,13415.0,935.0,107.0,6716.0,21172.0,445.0,2746.0,-2468.0,-148.0,130.0,4.993207190533383,8.084427730414067,13.56294790886726,0.0316611402289014,73.29310344827586,2.398875873795579,278.0,2468.0,39.0,186.98,0.0,592.0,2746.0,35.09,0,0,0,180.0,3053088.97,3624591.94,72.53,11.71,36.84,1.94,0.00910553222430331,Avenue Supermarts Ltd,Consumer Discretionary,Retail,Large Cap,42.5,Caution,0,Avoid
470,DRREDDY,2019,15448,12270,3178.0,21.0,381,89,1135,2336,17.0,1950,23.0,17.0,548.0,83.0,13941.0,3838.0,4557.0,22418.0,7191.0,2934.0,2587.0,9707.0,22418.0,452.0,2870.0,-769.0,-2133.0,-31.0,12.622993267736923,20.572242361470742,13.904734740444953,0.2736737022247575,39.98876404494382,0.6890891248104202,2101.0,769.0,23.0,140.24,17.0,3838.0,2870.0,,0,0,0,181.0,1574961.99,1965583.28,10.84,10.04,34.68,0.78,0.13340004478457287,Dr Reddys Laboratories Ltd,Healthcare,Pharmaceuticals,Mid Cap,37.955,Discount,0,Avoid
471,DRREDDY,2020,17517,15040,2477.0,14.0,670,98,1163,1886,-7.0,2026,24.0,21.0,549.0,83.0,15516.0,2210.0,5414.0,23223.0,6850.0,1535.0,2678.0,12160.0,23223.0,453.0,2984.0,-495.0,-2516.0,-27.0,11.565907404235883,14.140549180795798,12.988012052054618,0.1416757484454131,32.11224489795919,0.7542953106833742,2489.0,495.0,24.0,155.99,21.0,2210.0,2984.0,,0,0,0,182.0,1859862.32,2287596.96,28.73,6.38,24.93,2.34,0.13382711038524614,Dr Reddys Laboratories Ltd,Healthcare,Pharmaceuticals,Mid Cap,37.955,Fair,0,Avoid
