id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,broad_sector,sub_sector
650,JINDALSTEL,Mar 2022,13.22,30.0,18.99,0.379,7.2431,0.6676,13717.0,2331.0,56.0,35.2723,5.0,13502,16048.0,Materials,Steel
350,DABUR,Mar 2023,14.75,19.0,18.96,0.1308,33.4231,0.8446,905.0,583.0,10.0,5.0695,54.0,1174,1488.0,Consumer Staples,Personal Products
431,GODREJCP,Mar 2020,15.1,22.0,18.95,0.4526,9.5877,0.6661,1036.0,552.0,15.0,7.7431,55.0,3575,1588.0,Consumer Staples,Personal Products
847,PIDILITIND,Mar 2022,12.17,19.0,18.85,0.065,45.119,1.045,397.0,558.0,24.0,12.5569,42.0,416,955.0,Materials,Specialty Chemicals
359,DIVISLAB,Mar 2020,25.53,34.0,18.84,0.0053,287.4286,0.6323,1133.0,83.0,52.0,13.7925,31.0,39,1216.0,Healthcare,Pharmaceuticals
462,HAVELLS,Mar 2019,7.82,12.0,18.77,0.0224,82.0625,1.4092,686.0,185.0,13.0,6.6635,36.0,94,501.0,Industrials,Consumer Electricals
475,HCLTECH,Mar 2021,14.82,27.0,18.64,0.1146,41.047,0.876,13953.0,5665.0,41.0,11.0337,24.0,6864,19618.0,Information Technology,IT Services
747,MARUTI,Mar 2018,9.87,15.0,18.52,0.0028,41.2514,1.3247,3486.0,8302.0,261.0,28.1848,31.0,121,11788.0,Consumer Discretionary,Automobiles
351,DABUR,Mar 2024,14.6,19.0,18.36,0.1384,23.2419,0.8206,1042.0,971.0,10.0,5.574,53.0,1365,2013.0,Consumer Staples,Personal Products
407,EICHERMOT,Mar 2020,19.96,24.0,18.3,0.0249,145.0,0.7353,186.0,1508.0,67.0,36.9667,19.0,249,1694.0,Consumer Discretionary,Two Wheelers
432,GODREJCP,Mar 2021,15.6,22.0,18.23,0.1975,17.5507,0.7743,1738.0,292.0,17.0,9.2539,0.0,1864,2030.0,Consumer Staples,Personal Products
258,BOSCHLTD,Mar 2015,11.07,16.0,18.21,0.0151,179.8571,1.1587,213.0,1183.0,426.0,23.7,20.0,111,1396.0,Consumer Discretionary,Auto Ancillaries
535,HINDUNILVR,Mar 2022,16.95,12857.0,18.12,0.0213,180.8858,0.7439,7320.0,1728.0,38.0,20.877,90.0,1043,9048.0,Consumer Staples,FMCG
745,MARUTI,Mar 2016,9.55,16.0,17.95,0.0075,127.9024,1.3479,1252.0,7230.0,182.0,20.2755,19.0,231,8482.0,Consumer Discretionary,Automobiles
1091,TECHM,Mar 2020,10.57,15.0,17.87,0.1682,34.8698,0.9879,5439.0,1081.0,42.0,5.003,32.0,3670,4358.0,Information Technology,IT Services
848,PIDILITIND,Mar 2023,10.92,17.0,17.87,0.0542,42.5208,1.1232,659.0,899.0,25.0,14.1412,44.0,391,1558.0,Materials,Specialty Chemicals
1092,TECHM,Mar 2020,10.57,15.0,17.87,0.1682,34.8698,0.9879,5439.0,1081.0,42.0,5.003,32.0,3670,4358.0,Information Technology,IT Services
155,BAJAJ-AUTO,Mar 2021,17.51,18.0,17.81,0.0044,929.7143,0.8256,251.0,2869.0,168.0,9.437,83.0,121,3120.0,Consumer Discretionary,Two Wheelers
154,BAJAJ-AUTO,Mar 2021,17.51,18.0,17.81,0.0044,929.7143,0.8256,251.0,2869.0,168.0,9.437,83.0,121,3120.0,Consumer Discretionary,Two Wheelers
461,HAVELLS,Mar 2018,8.14,13.0,17.72,0.0308,45.2,1.2282,154.0,946.0,11.0,5.9206,4.0,115,1100.0,Industrials,Consumer Electricals
1004,SIEMENS,Sep 2024,12.22,14.0,17.7,0.0182,67.15,0.8791,1168.0,502.0,76.0,21.6296,16.0,279,1670.0,Industrials,Capital Goods
523,HINDALCO,Mar 2022,7.04,28347.0,17.56,0.8247,133.0623,0.8792,10065.0,6773.0,61.0,35.2212,6.0,64486,16838.0,Materials,Metals & Mining
1094,TECHM,Mar 2021,11.5,18.0,17.51,0.1167,43.5862,0.9559,2661.0,5433.0,46.0,5.6899,89.0,2901,8094.0,Information Technology,IT Services
1093,TECHM,Mar 2021,11.5,18.0,17.51,0.1167,43.5862,0.9559,2661.0,5433.0,46.0,5.6899,89.0,2901,8094.0,Information Technology,IT Services
262,BOSCHLTD,Mar 2019,13.22,18.0,17.51,0.0,211.8462,0.9508,2359.0,1766.0,542.0,30.4233,19.0,0,593.0,Consumer Discretionary,Auto Ancillaries
1097,TECHM,Mar 2023,9.11,15.0,17.39,0.0981,26.773,1.1629,5346.0,226.0,50.0,6.3464,91.0,2740,5572.0,Information Technology,IT Services
973,SHREECEM,Mar 2017,15.58,29.0,17.39,0.168,22.2868,0.7697,154.0,2048.0,384.0,21.9943,36.0,1293,2202.0,Materials,Cement
1098,TECHM,Mar 2023,9.11,15.0,17.39,0.0981,26.773,1.1629,5346.0,226.0,50.0,6.3464,91.0,2740,5572.0,Information Technology,IT Services
1085,TECHM,Mar 2017,9.78,14.0,17.35,0.0831,38.4419,1.1184,1178.0,2893.0,29.0,3.7442,28.0,1366,4071.0,Information Technology,IT Services
1086,TECHM,Mar 2017,9.78,14.0,17.35,0.0831,38.4419,1.1184,1178.0,2893.0,29.0,3.7442,28.0,1366,4071.0,Information Technology,IT Services
256,BOSCHLTD,Dec 2012,11.06,16.0,17.19,0.0413,286.5,1.0958,47.0,824.0,305.0,17.9774,20.0,230,871.0,Consumer Discretionary,Auto Ancillaries
1008,SUNPHARMA,Mar 2016,19.86,29.0,17.15,0.2576,15.5488,0.5139,2737.0,3949.0,19.0,13.6859,5.0,8497,6686.0,Healthcare,Pharmaceuticals
467,HAVELLS,Mar 2024,6.84,10.0,17.07,0.0407,25.3571,1.4952,335.0,1618.0,20.0,11.8206,44.0,303,1953.0,Industrials,Consumer Electricals
463,HAVELLS,Mar 2020,7.79,11.0,17.05,0.0167,23.0196,1.3347,279.0,548.0,12.0,6.8444,34.0,72,827.0,Industrials,Consumer Electricals
391,DRREDDY,Mar 2016,13.69,23.0,16.95,0.2667,46.747,0.7658,1653.0,1610.0,25.0,14.7871,16.0,3352,3263.0,Healthcare,Pharmaceuticals
825,ONGC,Mar 2024,9.66,17.0,16.94,0.4544,11.3613,0.8332,42060.0,57203.0,39.0,5.3588,31.0,153181,99263.0,Energy,Oil & Gas Exploration
512,HEROMOTOCO,Mar 2023,8.200000000000001,4099.0,16.81,0.0341,53.037,1.4282,2193.0,421.0,141.0,41.64,71.0,568,2614.0,Consumer Discretionary,Two Wheelers
534,HINDUNILVR,Mar 2021,17.01,11626.0,16.78,0.0,208.3941,0.6841,7935.0,1228.0,34.0,20.2868,119.0,0,9163.0,Consumer Staples,FMCG
971,SHREECEM,Jun 2014,13.77,24.0,16.71,0.2547,11.5814,0.7798,167.0,1234.0,226.0,13.46,10.0,1200,1401.0,Materials,Cement
748,MARUTI,Mar 2019,8.89,13.0,16.25,0.0034,180.5263,1.3455,3061.0,3540.0,253.0,31.1868,32.0,160,6601.0,Consumer Discretionary,Automobiles
466,HAVELLS,Mar 2023,6.34,10.0,16.18,0.0337,32.7091,1.5157,596.0,31.0,17.0,10.5175,44.0,223,565.0,Industrials,Consumer Electricals
259,BOSCHLTD,Mar 2016,15.78,19.0,16.06,0.0052,192.3846,0.7803,323.0,995.0,488.0,30.7581,17.0,50,1318.0,Consumer Discretionary,Auto Ancillaries
753,MARUTI,Mar 2024,9.51,13.0,15.75,0.0014,117.9072,1.2303,4936.0,11865.0,429.0,54.5452,29.0,119,16801.0,Consumer Discretionary,Automobiles
744,MARUTI,Mar 2015,7.5,14.0,15.66,0.0274,35.3624,1.4735,1958.0,4491.0,126.0,16.1046,20.0,666,6449.0,Consumer Discretionary,Automobiles
820,ONGC,Mar 2019,8.05,18.0,15.64,0.4967,14.4571,0.8564,24326.0,37132.0,24.0,3.4489,29.0,107742,61458.0,Energy,Oil & Gas Exploration
327,CIPLA,Mar 2024,16.12,6291.0,15.55,0.0209,35.3388,0.7922,1152.0,2982.0,51.0,16.5876,25.0,559,4134.0,Healthcare,Pharmaceuticals
433,GODREJCP,Mar 2022,14.52,20.0,15.43,0.1475,20.3852,0.7633,607.0,844.0,17.0,11.3294,0.0,1704,1451.0,Consumer Staples,Personal Products
977,SHREECEM,Mar 2021,17.23,30.0,15.18,0.1448,17.996,0.6303,1603.0,2651.0,646.0,42.7694,9.0,2230,4254.0,Materials,Cement
1016,SUNPHARMA,Mar 2024,19.82,28.0,15.09,0.0514,58.3319,0.5685,11372.0,763.0,40.0,26.5279,34.0,3274,12135.0,Healthcare,Pharmaceuticals
460,HAVELLS,Mar 2017,8.06,13.0,15.08,0.0635,65.9231,1.1861,547.0,220.0,8.0,5.2839,44.0,208,767.0,Industrials,Consumer Electricals
818,ONGC,Mar 2017,10.33,19.0,15.01,0.4117,18.2478,0.6355,1965.0,43815.0,19.0,3.0292,40.0,80029,45780.0,Energy,Oil & Gas Exploration
